import time: self [us] | cumulative | imported package
import time:       102 |        102 | winreg
import time:       194 |        194 |   _io
import time:        37 |         37 |   marshal
import time:       145 |        145 |   nt
import time:       619 |        994 | _frozen_importlib_external
import time:       306 |        306 |   time
import time:       209 |        515 | zipimport
import time:        54 |         54 |     _codecs
import time:       376 |        430 |   codecs
import time:       965 |        965 |   encodings.aliases
import time:      1884 |       3278 | encodings
import time:      1888 |       1888 | encodings.utf_8
import time:      1400 |       1400 | encodings.cp1252
import time:       130 |        130 | _signal
import time:        89 |         89 |     _abc
import time:       407 |        496 |   abc
import time:       404 |        899 | io
import time:       117 |        117 |       _stat
import time:       209 |        325 |     stat
import time:      1872 |       1872 |     _collections_abc
import time:       119 |        119 |       genericpath
import time:       226 |        226 |       _winapi
import time:       434 |        779 |     ntpath
import time:       844 |       3819 |   os
import time:       174 |        174 |   _sitebuiltins
import time:       926 |        926 |   sitecustomize
import time:       304 |        304 |   usercustomize
import time:      1343 |       6565 | site
import time:       130 |        130 |       itertools
import time:       474 |        474 |       keyword
import time:        79 |         79 |         _operator
import time:       660 |        739 |       operator
import time:       503 |        503 |       reprlib
import time:        74 |         74 |       _collections
import time:      1400 |       3317 |     collections
import time:       529 |        529 |     collections.abc
import time:       469 |        469 |       concurrent
import time:       590 |        590 |               types
import time:      1514 |       2104 |             enum
import time:        76 |         76 |               _sre
import time:       505 |        505 |                 re._constants
import time:       624 |       1128 |               re._parser
import time:       417 |        417 |               re._casefix
import time:       706 |       2325 |             re._compiler
import time:        62 |         62 |               _functools
import time:       941 |       1003 |             functools
import time:       519 |        519 |             copyreg
import time:       852 |       6802 |           re
import time:       497 |        497 |                 token
import time:        50 |         50 |                 _tokenize
import time:      1876 |       2422 |               tokenize
import time:       480 |       2902 |             linecache
import time:      1568 |       1568 |             textwrap
import time:       953 |        953 |             contextlib
import time:       931 |       6352 |           traceback
import time:       650 |        650 |           warnings
import time:       527 |        527 |             _weakrefset
import time:       725 |       1252 |           weakref
import time:        41 |         41 |             _string
import time:       900 |        941 |           string
import time:       975 |        975 |           threading
import time:        50 |         50 |           atexit
import time:      2066 |      19085 |         logging
import time:       945 |      20030 |       concurrent.futures._base
import time:       542 |      21040 |     concurrent.futures
import time:        50 |         50 |       _heapq
import time:       582 |        632 |     heapq
import time:      2134 |       2134 |       _socket
import time:        82 |         82 |       errno
import time:      1343 |       3559 |     socket
import time:        64 |         64 |         _locale
import time:      1318 |       1381 |       locale
import time:       714 |        714 |       signal
import time:       238 |        238 |       fcntl
import time:        48 |         48 |       msvcrt
import time:      1109 |       3488 |     subprocess
import time:      5601 |       5601 |       _ssl
import time:        76 |         76 |           _struct
import time:       496 |        571 |         struct
import time:        59 |         59 |         binascii
import time:      1332 |       1962 |       base64
import time:      4607 |      12169 |     ssl
import time:       521 |        521 |     asyncio.constants
import time:       856 |        856 |           _ast
import time:      1463 |       2319 |         ast
import time:        48 |         48 |             _opcode
import time:       526 |        526 |             _opcode_metadata
import time:       630 |       1203 |           opcode
import time:      1171 |       2374 |         dis
import time:       546 |        546 |           importlib
import time:        77 |        623 |         importlib.machinery
import time:      2189 |       7503 |       inspect
import time:       426 |       7928 |     asyncio.coroutines
import time:        42 |         42 |         _contextvars
import time:       464 |        506 |       contextvars
import time:       391 |        391 |       asyncio.format_helpers
import time:       560 |        560 |         asyncio.base_futures
import time:       475 |        475 |         asyncio.exceptions
import time:       408 |        408 |         asyncio.base_tasks
import time:       826 |       2267 |       _asyncio
import time:       744 |       3906 |     asyncio.events
import time:       570 |        570 |     asyncio.futures
import time:       511 |        511 |     asyncio.protocols
import time:       497 |        497 |       asyncio.transports
import time:       371 |        371 |       asyncio.log
import time:       852 |       1719 |     asyncio.sslproto
import time:        64 |         64 |         _typing
import time:      3238 |       3302 |       typing
import time:       443 |        443 |         asyncio.mixins
import time:       915 |       1357 |       asyncio.locks
import time:        68 |         68 |         math
import time:       668 |        668 |         asyncio.timeouts
import time:       759 |       1495 |       asyncio.tasks
import time:       588 |       6741 |     asyncio.staggered
import time:       430 |        430 |     asyncio.trsock
import time:      1495 |      68547 |   asyncio.base_events
import time:       571 |        571 |   asyncio.runners
import time:       525 |        525 |   asyncio.queues
import time:       610 |        610 |   asyncio.streams
import time:       491 |        491 |   asyncio.subprocess
import time:       422 |        422 |   asyncio.taskgroups
import time:       449 |        449 |   asyncio.threads
import time:      1496 |       1496 |     _overlapped
import time:       659 |        659 |     asyncio.base_subprocess
import time:       886 |        886 |     asyncio.proactor_events
import time:       536 |        536 |         select
import time:       889 |       1425 |       selectors
import time:       767 |       2191 |     asyncio.selector_events
import time:       234 |        234 |               posix
import time:       144 |        377 |             posixpath
import time:       482 |        859 |           fnmatch
import time:        80 |         80 |           zlib
import time:       550 |        550 |             _compression
import time:       636 |        636 |             _bz2
import time:       570 |       1755 |           bz2
import time:       660 |        660 |             _lzma
import time:       665 |       1324 |           lzma
import time:       983 |       4999 |         shutil
import time:        44 |         44 |             _bisect
import time:       477 |        521 |           bisect
import time:        36 |         36 |           _random
import time:        45 |         45 |           _sha2
import time:       767 |       1367 |         random
import time:       789 |       7154 |       tempfile
import time:       527 |       7681 |     asyncio.windows_utils
import time:       951 |      13862 |   asyncio.windows_events
import time:       829 |      86303 | asyncio
