import time: self [us] | cumulative | imported package
import time:       175 |        175 | winreg
import time:       270 |        270 |   _io
import time:        53 |         53 |   marshal
import time:       202 |        202 |   nt
import time:       889 |       1412 | _frozen_importlib_external
import time:       304 |        304 |   time
import time:       268 |        572 | zipimport
import time:       114 |        114 |     _codecs
import time:       778 |        892 |   codecs
import time:      1933 |       1933 |   encodings.aliases
import time:      4331 |       7154 | encodings
import time:      1124 |       1124 | encodings.utf_8
import time:      1450 |       1450 | encodings.cp1252
import time:        96 |         96 | _signal
import time:        46 |         46 |     _abc
import time:       227 |        273 |   abc
import time:       228 |        500 | io
import time:        66 |         66 |       _stat
import time:       119 |        185 |     stat
import time:       975 |        975 |     _collections_abc
import time:        81 |         81 |       genericpath
import time:       152 |        152 |       _winapi
import time:       227 |        459 |     ntpath
import time:       459 |       2076 |   os
import time:       116 |        116 |   _sitebuiltins
import time:       604 |        604 |   sitecustomize
import time:       183 |        183 |   usercustomize
import time:       868 |       3846 | site
import time:       168 |        168 |     _datetime
import time:      1255 |       1423 |   datetime
import time:      1823 |       1823 |     types
import time:      3248 |       5070 |   enum
import time:       106 |        106 |         _sre
import time:       876 |        876 |           re._constants
import time:      1032 |       1907 |         re._parser
import time:       713 |        713 |         re._casefix
import time:      1373 |       4097 |       re._compiler
import time:       137 |        137 |           itertools
import time:       743 |        743 |           keyword
import time:       134 |        134 |             _operator
import time:       999 |       1133 |           operator
import time:       846 |        846 |           reprlib
import time:        81 |         81 |           _collections
import time:      1541 |       4479 |         collections
import time:        61 |         61 |         _functools
import time:      1182 |       5721 |       functools
import time:       790 |        790 |       copyreg
import time:      1634 |      12241 |     re
import time:        64 |         64 |     _locale
import time:      1929 |      14232 |   locale
import time:       851 |        851 |   warnings
import time:     23122 |      44697 | calendar
