import time: self [us] | cumulative | imported package
import time:       328 |        328 | winreg
import time:       574 |        574 |   _io
import time:       111 |        111 |   marshal
import time:       415 |        415 |   nt
import time:      1854 |       2953 | _frozen_importlib_external
import time:      1337 |       1337 |   time
import time:       870 |       2206 | zipimport
import time:       115 |        115 |     _codecs
import time:       854 |        968 |   codecs
import time:      2268 |       2268 |   encodings.aliases
import time:      4966 |       8201 | encodings
import time:      1078 |       1078 | encodings.utf_8
import time:       979 |        979 | encodings.cp1252
import time:        95 |         95 | _signal
import time:        66 |         66 |     _abc
import time:       283 |        348 |   abc
import time:       267 |        614 | io
import time:       112 |        112 |       _stat
import time:       179 |        291 |     stat
import time:      1615 |       1615 |     _collections_abc
import time:       101 |        101 |       genericpath
import time:       191 |        191 |       _winapi
import time:       355 |        647 |     ntpath
import time:       667 |       3218 |   os
import time:       132 |        132 |   _sitebuiltins
import time:       784 |        784 |   sitecustomize
import time:       274 |        274 |   usercustomize
import time:      1017 |       5423 | site
import time:       301 |        301 |     itertools
import time:       808 |        808 |     keyword
import time:       137 |        137 |       _operator
import time:       939 |       1076 |     operator
import time:       998 |        998 |     reprlib
import time:       122 |        122 |     _collections
import time:      1937 |       5239 |   collections
import time:       107 |        107 |     _functools
import time:      1505 |       1612 |   functools
import time:      1069 |       1069 |   types
import time:      1655 |       9574 | contextlib
