import time: self [us] | cumulative | imported package
import time:       136 |        136 | winreg
import time:       265 |        265 |   _io
import time:        42 |         42 |   marshal
import time:       199 |        199 |   nt
import time:       890 |       1394 | _frozen_importlib_external
import time:       571 |        571 |   time
import time:       280 |        850 | zipimport
import time:        53 |         53 |     _codecs
import time:       390 |        443 |   codecs
import time:      1187 |       1187 |   encodings.aliases
import time:      2967 |       4595 | encodings
import time:      2323 |       2323 | encodings.utf_8
import time:      1901 |       1901 | encodings.cp1252
import time:       162 |        162 | _signal
import time:       108 |        108 |     _abc
import time:       479 |        587 |   abc
import time:       445 |       1031 | io
import time:       166 |        166 |       _stat
import time:       287 |        453 |     stat
import time:      2540 |       2540 |     _collections_abc
import time:       210 |        210 |       genericpath
import time:       387 |        387 |       _winapi
import time:       618 |       1214 |     ntpath
import time:      1201 |       5407 |   os
import time:       236 |        236 |   _sitebuiltins
import time:      1240 |       1240 |   sitecustomize
import time:       342 |        342 |   usercustomize
import time:      1873 |       9096 | site
import time:      2445 |       2445 |   email
import time:      1368 |       1368 |       types
import time:      2500 |       3867 |     enum
import time:       219 |        219 |       _sre
import time:      2202 |       2202 |         re._constants
import time:      2395 |       4597 |       re._parser
import time:      1143 |       1143 |       re._casefix
import time:      1523 |       7480 |     re._compiler
import time:       259 |        259 |         itertools
import time:      1325 |       1325 |         keyword
import time:        77 |         77 |           _operator
import time:       846 |        922 |         operator
import time:       727 |        727 |         reprlib
import time:        74 |         74 |         _collections
import time:      2210 |       5515 |       collections
import time:        55 |         55 |       _functools
import time:      1728 |       7297 |     functools
import time:      1001 |       1001 |     copyreg
import time:      2129 |      21772 |   re
import time:       964 |        964 |     warnings
import time:        70 |         70 |     math
import time:        56 |         56 |       _bisect
import time:       697 |        753 |     bisect
import time:        39 |         39 |     _random
import time:        37 |         37 |     _sha2
import time:      1500 |       3360 |   random
import time:      3167 |       3167 |     _socket
import time:      1045 |       1045 |       collections.abc
import time:      1166 |       1166 |       select
import time:      1671 |       3882 |     selectors
import time:        76 |         76 |     errno
import time:      2371 |       9493 |   socket
import time:       129 |        129 |     _datetime
import time:       824 |        953 |   datetime
import time:       817 |        817 |     urllib
import time:      2014 |       2014 |     ipaddress
import time:      2070 |       4900 |   urllib.parse
import time:        79 |         79 |         _locale
import time:      1906 |       1985 |       locale
import time:     18808 |      20792 |     calendar
import time:      1313 |      22104 |   email._parseaddr
import time:        79 |         79 |           _struct
import time:       737 |        815 |         struct
import time:        55 |         55 |         binascii
import time:       882 |       1752 |       base64
import time:      1440 |       3191 |     email.base64mime
import time:        46 |         46 |         _string
import time:      1169 |       1215 |       string
import time:      1206 |       2421 |     email.quoprimime
import time:      1312 |       1312 |     email.errors
import time:      1182 |       1182 |       quopri
import time:      1086 |       2268 |     email.encoders
import time:      1462 |      10652 |   email.charset
import time:      2095 |      77772 | email.utils
