import time: self [us] | cumulative | imported package
import time:       394 |        394 | winreg
import time:       567 |        567 |   _io
import time:       140 |        140 |   marshal
import time:       434 |        434 |   nt
import time:      1937 |       3077 | _frozen_importlib_external
import time:       885 |        885 |   time
import time:       635 |       1519 | zipimport
import time:       108 |        108 |     _codecs
import time:       774 |        882 |   codecs
import time:      2044 |       2044 |   encodings.aliases
import time:      5533 |       8458 | encodings
import time:       956 |        956 | encodings.utf_8
import time:       949 |        949 | encodings.cp1252
import time:        74 |         74 | _signal
import time:        49 |         49 |     _abc
import time:       225 |        274 |   abc
import time:       223 |        496 | io
import time:        83 |         83 |       _stat
import time:       121 |        203 |     stat
import time:      1102 |       1102 |     _collections_abc
import time:        70 |         70 |       genericpath
import time:       131 |        131 |       _winapi
import time:       199 |        400 |     ntpath
import time:       449 |       2153 |   os
import time:       102 |        102 |   _sitebuiltins
import time:       539 |        539 |   sitecustomize
import time:       183 |        183 |   usercustomize
import time:       740 |       3716 | site
import time:      5085 |       5085 |   _hashlib
import time:        72 |         72 |   _blake2
import time:       939 |       6095 | hashlib
