import time: self [us] | cumulative | imported package
import time:       132 |        132 | winreg
import time:       312 |        312 |   _io
import time:        43 |         43 |   marshal
import time:       171 |        171 |   nt
import time:       801 |       1325 | _frozen_importlib_external
import time:       417 |        417 |   time
import time:       254 |        671 | zipimport
import time:        61 |         61 |     _codecs
import time:       729 |        790 |   codecs
import time:      1375 |       1375 |   encodings.aliases
import time:      2683 |       4847 | encodings
import time:       643 |        643 | encodings.utf_8
import time:       540 |        540 | encodings.cp1252
import time:        54 |         54 | _signal
import time:        75 |         75 |     _abc
import time:       330 |        405 |   abc
import time:       345 |        749 | io
import time:       109 |        109 |       _stat
import time:       191 |        300 |     stat
import time:      1684 |       1684 |     _collections_abc
import time:       136 |        136 |       genericpath
import time:       259 |        259 |       _winapi
import time:       388 |        782 |     ntpath
import time:       793 |       3559 |   os
import time:       192 |        192 |   _sitebuiltins
import time:       527 |        527 |   sitecustomize
import time:       184 |        184 |   usercustomize
import time:      1422 |       5882 | site
import time:       949 |        949 |   email
import time:       102 |        102 |   binascii
import time:      1058 |       1058 |       types
import time:      2190 |       3248 |     enum
import time:        78 |         78 |       _sre
import time:       816 |        816 |         re._constants
import time:       826 |       1641 |       re._parser
import time:       594 |        594 |       re._casefix
import time:       999 |       3310 |     re._compiler
import time:       129 |        129 |         itertools
import time:       686 |        686 |         keyword
import time:        77 |         77 |           _operator
import time:      1045 |       1122 |         operator
import time:       731 |        731 |         reprlib
import time:        76 |         76 |         _collections
import time:      1393 |       4135 |       collections
import time:        54 |         54 |       _functools
import time:      1070 |       5258 |     functools
import time:       761 |        761 |     copyreg
import time:      1303 |      13878 |   re
import time:       708 |        708 |   quopri
import time:       125 |        125 |       _datetime
import time:      1080 |       1205 |     datetime
import time:       961 |        961 |       urllib
import time:        76 |         76 |       math
import time:      1161 |       1161 |       warnings
import time:      2604 |       2604 |       ipaddress
import time:      1833 |       6632 |     urllib.parse
import time:        78 |         78 |           _locale
import time:      1552 |       1629 |         locale
import time:      1635 |       3263 |       calendar
import time:      1075 |       4338 |     email._parseaddr
import time:        80 |         80 |             _struct
import time:       684 |        763 |           struct
import time:       768 |       1530 |         base64
import time:       622 |       2152 |       email.base64mime
import time:        46 |         46 |           _string
import time:      1151 |       1197 |         string
import time:      1086 |       2282 |       email.quoprimime
import time:       888 |        888 |       email.errors
import time:       604 |        604 |       email.encoders
import time:       860 |       6784 |     email.charset
import time:     12724 |      31680 |   email.utils
import time:      1038 |       1038 |     email.header
import time:       773 |       1811 |   email._policybase
import time:       837 |        837 |   email._encoded_words
import time:       677 |        677 |   email.iterators
import time:      1983 |      52621 | email.message
