import time: self [us] | cumulative | imported package
import time:       128 |        128 | winreg
import time:       196 |        196 |   _io
import time:        35 |         35 |   marshal
import time:       173 |        173 |   nt
import time:       606 |       1009 | _frozen_importlib_external
import time:       308 |        308 |   time
import time:       199 |        506 | zipimport
import time:        55 |         55 |     _codecs
import time:       405 |        459 |   codecs
import time:      1866 |       1866 |   encodings.aliases
import time:      2357 |       4682 | encodings
import time:       832 |        832 | encodings.utf_8
import time:       847 |        847 | encodings.cp1252
import time:        52 |         52 | _signal
import time:        54 |         54 |     _abc
import time:       238 |        292 |   abc
import time:       190 |        481 | io
import time:        56 |         56 |       _stat
import time:        98 |        154 |     stat
import time:      1211 |       1211 |     _collections_abc
import time:       160 |        160 |       genericpath
import time:       320 |        320 |       _winapi
import time:       394 |        873 |     ntpath
import time:       570 |       2806 |   os
import time:       197 |        197 |   _sitebuiltins
import time:       835 |        835 |   sitecustomize
import time:       263 |        263 |   usercustomize
import time:       941 |       5041 | site
import time:       278 |        278 |       itertools
import time:       841 |        841 |       keyword
import time:       104 |        104 |         _operator
import time:      1091 |       1194 |       operator
import time:       915 |        915 |       reprlib
import time:        85 |         85 |       _collections
import time:      1743 |       5053 |     collections
import time:        76 |         76 |       _functools
import time:      1560 |       1636 |     functools
import time:       898 |        898 |     types
import time:      1661 |       9247 |   contextlib
import time:      1140 |       1140 |   warnings
import time:       367 |        367 |   termios
import time:        52 |         52 |   msvcrt
import time:      1092 |      11897 | getpass
