import time: self [us] | cumulative | imported package
import time:       110 |        110 | winreg
import time:       199 |        199 |   _io
import time:        37 |         37 |   marshal
import time:       148 |        148 |   nt
import time:       646 |       1029 | _frozen_importlib_external
import time:       318 |        318 |   time
import time:       221 |        538 | zipimport
import time:        75 |         75 |     _codecs
import time:       634 |        709 |   codecs
import time:      1967 |       1967 |   encodings.aliases
import time:      2139 |       4814 | encodings
import time:       867 |        867 | encodings.utf_8
import time:      1326 |       1326 | encodings.cp1252
import time:        60 |         60 | _signal
import time:        36 |         36 |     _abc
import time:       165 |        201 |   abc
import time:       152 |        352 | io
import time:        56 |         56 |       _stat
import time:        99 |        155 |     stat
import time:       878 |        878 |     _collections_abc
import time:        70 |         70 |       genericpath
import time:       130 |        130 |       _winapi
import time:       196 |        396 |     ntpath
import time:       453 |       1880 |   os
import time:        92 |         92 |   _sitebuiltins
import time:       521 |        521 |   sitecustomize
import time:       185 |        185 |   usercustomize
import time:       775 |       3451 | site
import time:       907 |        907 |         types
import time:      1874 |       2780 |       enum
import time:        82 |         82 |         _sre
import time:      1029 |       1029 |           re._constants
import time:       973 |       2002 |         re._parser
import time:      1004 |       1004 |         re._casefix
import time:      1081 |       4169 |       re._compiler
import time:       163 |        163 |           itertools
import time:       753 |        753 |           keyword
import time:        98 |         98 |             _operator
import time:      1031 |       1128 |           operator
import time:       773 |        773 |           reprlib
import time:        85 |         85 |           _collections
import time:      1713 |       4613 |         collections
import time:        68 |         68 |         _functools
import time:      1525 |       6205 |       functools
import time:       827 |        827 |       copyreg
import time:      1224 |      15204 |     re
import time:        62 |         62 |       _json
import time:       896 |        958 |     json.scanner
import time:       981 |      17142 |   json.decoder
import time:       866 |        866 |   json.encoder
import time:       862 |      18869 | json
