import time: self [us] | cumulative | imported package
import time:       569 |        569 | winreg
import time:       607 |        607 |   _io
import time:       110 |        110 |   marshal
import time:       428 |        428 |   nt
import time:      2019 |       3162 | _frozen_importlib_external
import time:       891 |        891 |   time
import time:       628 |       1519 | zipimport
import time:       147 |        147 |     _codecs
import time:      1118 |       1265 |   codecs
import time:      3034 |       3034 |   encodings.aliases
import time:      5006 |       9305 | encodings
import time:      2097 |       2097 | encodings.utf_8
import time:      1699 |       1699 | encodings.cp1252
import time:       139 |        139 | _signal
import time:        89 |         89 |     _abc
import time:       413 |        502 |   abc
import time:       385 |        887 | io
import time:       148 |        148 |       _stat
import time:       258 |        405 |     stat
import time:      2365 |       2365 |     _collections_abc
import time:       216 |        216 |       genericpath
import time:       353 |        353 |       _winapi
import time:       541 |       1109 |     ntpath
import time:      1066 |       4944 |   os
import time:       263 |        263 |   _sitebuiltins
import time:      1447 |       1447 |   sitecustomize
import time:       516 |        516 |   usercustomize
import time:      1735 |       8904 | site
import time:       345 |        345 |       itertools
import time:      1345 |       1345 |       keyword
import time:       302 |        302 |         _operator
import time:      1835 |       2136 |       operator
import time:      2020 |       2020 |       reprlib
import time:       258 |        258 |       _collections
import time:      3325 |       9427 |     collections
import time:       153 |        153 |       _functools
import time:      2164 |       2316 |     functools
import time:      1292 |       1292 |     types
import time:      2437 |      15470 |   contextlib
import time:       517 |        517 |       posix
import time:       487 |       1004 |     posixpath
import time:      2643 |       2643 |       enum
import time:       131 |        131 |         _sre
import time:       888 |        888 |           re._constants
import time:      1224 |       2111 |         re._parser
import time:       569 |        569 |         re._casefix
import time:      1233 |       4043 |       re._compiler
import time:       719 |        719 |       copyreg
import time:      1580 |       8984 |     re
import time:      1046 |      11033 |   fnmatch
import time:       861 |        861 |   warnings
import time:       102 |        102 |   errno
import time:       331 |        331 |   pwd
import time:       300 |        300 |   grp
import time:     59984 |      88079 | pathlib
