import time: self [us] | cumulative | imported package
import time:       119 |        119 | winreg
import time:       201 |        201 |   _io
import time:        38 |         38 |   marshal
import time:       144 |        144 |   nt
import time:       686 |       1067 | _frozen_importlib_external
import time:       335 |        335 |   time
import time:       218 |        553 | zipimport
import time:        75 |         75 |     _codecs
import time:       510 |        584 |   codecs
import time:      1252 |       1252 |   encodings.aliases
import time:      2683 |       4519 | encodings
import time:      1447 |       1447 | encodings.utf_8
import time:       802 |        802 | encodings.cp1252
import time:        55 |         55 | _signal
import time:        34 |         34 |     _abc
import time:       155 |        189 |   abc
import time:       150 |        338 | io
import time:        54 |         54 |       _stat
import time:        95 |        148 |     stat
import time:       845 |        845 |     _collections_abc
import time:        69 |         69 |       genericpath
import time:       132 |        132 |       _winapi
import time:       193 |        392 |     ntpath
import time:       393 |       1777 |   os
import time:        91 |         91 |   _sitebuiltins
import time:       547 |        547 |   sitecustomize
import time:       182 |        182 |   usercustomize
import time:       740 |       3335 | site
import time:       827 |        827 | linecache
import time:       137 |        137 |       itertools
import time:       677 |        677 |       keyword
import time:        80 |         80 |         _operator
import time:       859 |        939 |       operator
import time:      1303 |       1303 |       reprlib
import time:        95 |         95 |       _collections
import time:      1715 |       4864 |     collections
import time:       513 |        513 |     _functools
import time:      2171 |       7547 |   functools
import time:      1027 |       1027 |       types
import time:      1307 |       2334 |     contextlib
import time:      2041 |       2041 |       enum
import time:        82 |         82 |         _sre
import time:      1100 |       1100 |           re._constants
import time:      1117 |       2216 |         re._parser
import time:       853 |        853 |         re._casefix
import time:      1115 |       4265 |       re._compiler
import time:       961 |        961 |       copyreg
import time:      1355 |       8620 |     re
import time:       236 |        236 |         posix
import time:       154 |        390 |       posixpath
import time:       919 |       1309 |     fnmatch
import time:      1929 |      14191 |   glob
import time:      1197 |       1197 |   warnings
import time:       122 |        122 |   errno
import time:       287 |        287 |   pwd
import time:       207 |        207 |   grp
import time:      3050 |      26597 | pathlib
