import time: self [us] | cumulative | imported package
import time:       129 |        129 | winreg
import time:       192 |        192 |   _io
import time:        37 |         37 |   marshal
import time:       144 |        144 |   nt
import time:       658 |       1029 | _frozen_importlib_external
import time:       298 |        298 |   time
import time:       213 |        510 | zipimport
import time:        50 |         50 |     _codecs
import time:       380 |        429 |   codecs
import time:      1355 |       1355 |   encodings.aliases
import time:      2258 |       4041 | encodings
import time:       800 |        800 | encodings.utf_8
import time:       853 |        853 | encodings.cp1252
import time:        54 |         54 | _signal
import time:        38 |         38 |     _abc
import time:       161 |        198 |   abc
import time:       153 |        351 | io
import time:        58 |         58 |       _stat
import time:       109 |        166 |     stat
import time:       964 |        964 |     _collections_abc
import time:        69 |         69 |       genericpath
import time:       135 |        135 |       _winapi
import time:       192 |        395 |     ntpath
import time:       413 |       1938 |   os
import time:       101 |        101 |   _sitebuiltins
import time:       556 |        556 |   sitecustomize
import time:       183 |        183 |   usercustomize
import time:       753 |       3528 | site
import time:       949 |        949 |   warnings
import time:        68 |         68 |   math
import time:       149 |        149 |     _operator
import time:       836 |        984 |   operator
import time:       113 |        113 |   itertools
import time:        46 |         46 |     _bisect
import time:       700 |        746 |   bisect
import time:        39 |         39 |   _random
import time:        37 |         37 |   _sha2
import time:      1095 |       4027 | random
