import time: self [us] | cumulative | imported package
import time:       102 |        102 | winreg
import time:       200 |        200 |   _io
import time:        37 |         37 |   marshal
import time:       145 |        145 |   nt
import time:       635 |       1016 | _frozen_importlib_external
import time:       310 |        310 |   time
import time:       219 |        528 | zipimport
import time:        87 |         87 |     _codecs
import time:       614 |        701 |   codecs
import time:      1409 |       1409 |   encodings.aliases
import time:      2979 |       5087 | encodings
import time:      2139 |       2139 | encodings.utf_8
import time:      1814 |       1814 | encodings.cp1252
import time:       144 |        144 | _signal
import time:        97 |         97 |     _abc
import time:       465 |        561 |   abc
import time:       429 |        990 | io
import time:       160 |        160 |       _stat
import time:       287 |        446 |     stat
import time:      2583 |       2583 |     _collections_abc
import time:       192 |        192 |       genericpath
import time:       341 |        341 |       _winapi
import time:       524 |       1057 |     ntpath
import time:      1099 |       5183 |   os
import time:       236 |        236 |   _sitebuiltins
import time:       973 |        973 |   sitecustomize
import time:       312 |        312 |   usercustomize
import time:      1502 |       8204 | site
import time:      3581 |       3581 |   _socket
import time:       184 |        184 |       itertools
import time:       715 |        715 |       keyword
import time:        77 |         77 |         _operator
import time:       853 |        929 |       operator
import time:       954 |        954 |       reprlib
import time:       116 |        116 |       _collections
import time:      1821 |       4717 |     collections
import time:      1012 |       1012 |     collections.abc
import time:       116 |        116 |     math
import time:      1215 |       1215 |     select
import time:      1775 |       8833 |   selectors
import time:      1194 |       1194 |     types
import time:      2860 |       4053 |   enum
import time:       111 |        111 |   errno
import time:      2618 |      19195 | socket
