import time: self [us] | cumulative | imported package
import time:       116 |        116 | winreg
import time:       188 |        188 |   _io
import time:        35 |         35 |   marshal
import time:       141 |        141 |   nt
import time:       635 |        998 | _frozen_importlib_external
import time:       311 |        311 |   time
import time:       239 |        550 | zipimport
import time:        78 |         78 |     _codecs
import time:       519 |        597 |   codecs
import time:      1561 |       1561 |   encodings.aliases
import time:      2211 |       4368 | encodings
import time:       920 |        920 | encodings.utf_8
import time:       926 |        926 | encodings.cp1252
import time:        61 |         61 | _signal
import time:        35 |         35 |     _abc
import time:       169 |        204 |   abc
import time:       151 |        355 | io
import time:        75 |         75 |       _stat
import time:       204 |        279 |     stat
import time:       864 |        864 |     _collections_abc
import time:        68 |         68 |       genericpath
import time:       129 |        129 |       _winapi
import time:       199 |        395 |     ntpath
import time:       458 |       1995 |   os
import time:        97 |         97 |   _sitebuiltins
import time:       523 |        523 |   sitecustomize
import time:       181 |        181 |   usercustomize
import time:       727 |       3522 | site
import time:       130 |        130 |     itertools
import time:       698 |        698 |     keyword
import time:        76 |         76 |       _operator
import time:       858 |        933 |     operator
import time:       740 |        740 |     reprlib
import time:        79 |         79 |     _collections
import time:      1442 |       4020 |   collections
import time:      1158 |       1158 |   collections.abc
import time:      1078 |       1078 |   copyreg
import time:       160 |        160 |     _functools
import time:      1691 |       1850 |   functools
import time:       850 |        850 |   types
import time:        44 |         44 |   _typing
import time:      2511 |      11509 | typing
